gene_name,p_val_adj
AFFX-HUMISGF3A/M97935_MA_at (endogenous control),2.9618467678460547e-9
AFFX-HUMISGF3A/M97935_MB_at (endogenous control),1.2936739679503262e-8
AFFX-HUMISGF3A/M97935_3_at (endogenous control),9.32277175458296e-7
AFFX-HUMRGE/M10098_5_at (endogenous control),9.32277175458296e-7
AFFX-HUMRGE/M10098_M_at (endogenous control),9.32277175458296e-7
AFFX-HUMRGE/M10098_3_at (endogenous control),2.714405087700378e-6
AFFX-HUMGAPDH/M33197_5_at (endogenous control),3.473489054098674e-6
AFFX-HUMGAPDH/M33197_M_at (endogenous control),3.6895514723411793e-6
AFFX-HSAC07/X00351_5_at (endogenous control),3.6895514723411793e-6
AFFX-HSAC07/X00351_M_at (endogenous control),3.7113368082764e-6
AFFX-HUMTFRR/M11507_5_at (endogenous control),4.7374490650398116e-6
AFFX-HUMTFRR/M11507_M_at (endogenous control),4.7374490650398116e-6
AFFX-HUMTFRR/M11507_3_at (endogenous control),4.7374490650398116e-6
AFFX-M27830_5_at (endogenous control),4.7374490650398116e-6
AFFX-M27830_M_at (endogenous control),4.7374490650398116e-6
AFFX-M27830_3_at (endogenous control),5.5314384519444815e-6
AFFX-HSAC07/X00351_3_st (endogenous control),5.5314384519444815e-6
AFFX-HUMGAPDH/M33197_M_st (endogenous control),5.5314384519444815e-6
AFFX-HUMGAPDH/M33197_3_st (endogenous control),6.573591501135567e-6
AFFX-HSAC07/X00351_M_st (endogenous control),6.573591501135567e-6
GB DEF = GABAa receptor alpha-3 subunit,6.573591501135567e-6
mRNA,6.773981161092089e-6
VRK1,6.960963999675256e-6
"mRNA, clone RES4-24A, exon 1, 2, 3, 4",6.960963999675256e-6
"Zinc finger protein, clone RES4-26",6.960963999675256e-6
Prostate differentiation factor mRNA,6.960963999675256e-6
GLIA MATURATION FACTOR BETA,7.081056964342025e-6
AQP3 Aquaporin 3,7.609863348467804e-6
KIAA0317 gene,8.111534811563153e-6
"KIAA0320 gene, partial cds",9.197623566770119e-6
KIAA0384 gene,9.197623566770119e-6
Hunc18b2,9.954243735038615e-6
Proteasome subunit p27,1.4222948552002698e-5
WUGSC:H_133K23.1c gene extracted from Human BAC clone 133K23 from 7q31.2,1.4986863834228919e-5
WUGSC:H_RG083M05.2 gene extracted from Human BAC clone RG083M05 from 7q21-7q22,1.4986863834228919e-5
WUGSC:DJ515N1.2 gene extracted from Human PAC clone DJ515N1 from 22q11.2-q22,1.6742560762117442e-5
"COX6B gene (COXG) extracted from Human DNA from overlapping chromosome 19 cosmids R31396, F25451, and R31076 containing COX6B and UPKA, genomic sequence",1.8693990569529362e-5
"F25451_2 gene extracted from Human DNA from overlapping chromosome 19 cosmids R31396, F25451, and R31076 containing COX6B and UPKA, genomic sequence",1.8693990569529362e-5
RAS-RELATED PROTEIN RAB-11A,1.9685528321894834e-5
"TTF-I interacting peptide 20 mRNA, partial cds",2.0293751805461337e-5
"Uroplakin II mRNA, partial cds",2.0844897018907587e-5
"GB DEF = Angelman Syndrome Gene, E6-AP ubiquitin protein ligase 3A (UBE3A) mRNA from promoter P1, 5'UTR",2.0844897018907587e-5
RET ligand 2 (RETL2) mRNA,2.0940085299039448e-5
"GB DEF = Delayed rectifier potassium channel (KVLQT1-Iso5) mRNA, 5' UTR and partial cds",2.0995499075577246e-5
"Fas-binding protein (DAXX) mRNA, partial cds",2.265151397651266e-5
